epoch,accuracy,dice_coeff,iou_score,learning_rate,loss,precision,recall,val_accuracy,val_dice_coeff,val_iou_score,val_loss,val_precision,val_recall
0,0.8458259701728821,0.8156173825263977,0.826759934425354,4.999999873689376e-05,0.6149176955223083,0.9053192138671875,0.9059233069419861,0.7962824702262878,0.7917698621749878,0.7958151698112488,0.7148762345314026,0.7958151698112488,1.0
1,0.9037144780158997,0.8954336047172546,0.8927326202392578,4.999999873689376e-05,0.3800622522830963,0.9121936559677124,0.9766766428947449,0.7962824702262878,0.8746157288551331,0.7958151698112488,0.8853207230567932,0.7958151698112488,1.0
2,0.9092956781387329,0.9072970151901245,0.8983999490737915,4.999999873689376e-05,0.34301286935806274,0.9174581170082092,0.9774385094642639,0.7962824702262878,0.881030797958374,0.7958151698112488,1.0387096405029297,0.7958151698112488,1.0
3,0.9123854637145996,0.9130444526672363,0.9015359282493591,4.999999873689376e-05,0.3240048587322235,0.9204872846603394,0.9777097105979919,0.7962824702262878,0.8821011781692505,0.7958151698112488,1.0478105545043945,0.7958151698112488,1.0
4,0.9143901467323303,0.9166053533554077,0.9035864472389221,4.999999873689376e-05,0.31246674060821533,0.922413170337677,0.9779398441314697,0.7962828278541565,0.8825661540031433,0.7958154678344727,1.0253267288208008,0.7958154678344727,1.0
5,0.9158405661582947,0.9190098643302917,0.9050586223602295,4.999999873689376e-05,0.30490386486053467,0.9238940477371216,0.9780183434486389,0.7969732284545898,0.8842687606811523,0.7963501811027527,0.9175767302513123,0.7963590025901794,0.9999863505363464
6,0.9170045852661133,0.9209973216056824,0.9062954783439636,4.999999873689376e-05,0.29889461398124695,0.9247376322746277,0.9785126447677612,0.8207760453224182,0.8951968550682068,0.8155598640441895,0.6871147155761719,0.8155823945999146,0.9999662041664124
7,0.9182363152503967,0.9226607084274292,0.9076061248779297,4.999999873689376e-05,0.2935766279697418,0.9256618022918701,0.9789865612983704,0.8592525124549866,0.9097246527671814,0.8491073846817017,0.5160523653030396,0.8495899438858032,0.9993317723274231
8,0.9193105101585388,0.9239219427108765,0.9087095856666565,4.999999873689376e-05,0.2895182967185974,0.9267802238464355,0.9790180921554565,0.8847948312759399,0.9165141582489014,0.8728858232498169,0.3991645276546478,0.8757181763648987,0.9963083267211914
9,0.920163094997406,0.9250888228416443,0.9096136689186096,4.999999873689376e-05,0.285888671875,0.9273863434791565,0.9794063568115234,0.8979350924491882,0.9186939597129822,0.885010838508606,0.3517076075077057,0.8939011096954346,0.9888835549354553
