Image ID,Connected Networks Count,Branch Points Count,End Points Count
501,15,3211,59
502,19,2756,67
503,11,3940,50
504,14,3084,53
505,24,2355,63
506,12,3640,76
507,14,3516,72
508,21,2641,58
509,15,3466,60
510,14,3109,54
